Loading raw data...
  Raw videos: 8108
  After dedup: 8108 unique videos

=== LLM classification (backlash vs neutral) ===
  Using model: anthropic/claude-sonnet-4
  Keys: 7, workers: 21 (3 per key)
  Videos to classify: 8108
  Pending: 8108 (skipping 0 already classified)
    [50/8108] 5.0/s | YES: 24 NO: 26 | errors: 0 | ETA: 26.9m
    [100/8108] 7.4/s | YES: 47 NO: 53 | errors: 0 | ETA: 18.0m
    [150/8108] 9.0/s | YES: 64 NO: 85 | errors: 0 | ETA: 14.8m
    [200/8108] 10.1/s | YES: 86 NO: 113 | errors: 0 | ETA: 13.1m
    [250/8108] 10.7/s | YES: 114 NO: 135 | errors: 0 | ETA: 12.2m
    [300/8108] 11.3/s | YES: 139 NO: 160 | errors: 0 | ETA: 11.6m
    [350/8108] 11.6/s | YES: 178 NO: 171 | errors: 0 | ETA: 11.1m
    [400/8108] 11.9/s | YES: 211 NO: 188 | errors: 0 | ETA: 10.8m
    [450/8108] 12.1/s | YES: 232 NO: 217 | errors: 0 | ETA: 10.5m
    [500/8108] 12.3/s | YES: 254 NO: 245 | errors: 0 | ETA: 10.3m
    [550/8108] 12.5/s | YES: 275 NO: 274 | errors: 0 | ETA: 10.1m
    [600/8108] 12.6/s | YES: 292 NO: 307 | errors: 0 | ETA: 9.9m
    [650/8108] 12.7/s | YES: 309 NO: 340 | errors: 0 | ETA: 9.8m
    [700/8108] 12.9/s | YES: 321 NO: 377 | errors: 0 | ETA: 9.6m
    [750/8108] 13.1/s | YES: 324 NO: 423 | errors: 0 | ETA: 9.4m
    [800/8108] 13.2/s | YES: 355 NO: 442 | errors: 0 | ETA: 9.2m
    [850/8108] 13.2/s | YES: 380 NO: 466 | errors: 0 | ETA: 9.1m
    [900/8108] 13.3/s | YES: 401 NO: 495 | errors: 0 | ETA: 9.0m
    [950/8108] 13.4/s | YES: 421 NO: 525 | errors: 0 | ETA: 8.9m
    [1000/8108] 13.3/s | YES: 441 NO: 555 | errors: 0 | ETA: 8.9m
    [1050/8108] 13.3/s | YES: 444 NO: 602 | errors: 0 | ETA: 8.8m
    [1100/8108] 13.4/s | YES: 446 NO: 650 | errors: 0 | ETA: 8.7m
    [1150/8108] 13.3/s | YES: 459 NO: 687 | errors: 0 | ETA: 8.7m
    [1200/8108] 13.4/s | YES: 494 NO: 702 | errors: 0 | ETA: 8.6m
    [1250/8108] 13.5/s | YES: 534 NO: 712 | errors: 0 | ETA: 8.5m
    [1300/8108] 13.5/s | YES: 557 NO: 739 | errors: 0 | ETA: 8.4m
    [1350/8108] 13.6/s | YES: 588 NO: 758 | errors: 0 | ETA: 8.3m
    [1400/8108] 13.6/s | YES: 609 NO: 787 | errors: 0 | ETA: 8.2m
    [1450/8108] 13.6/s | YES: 631 NO: 815 | errors: 0 | ETA: 8.1m
    [1500/8108] 13.7/s | YES: 647 NO: 849 | errors: 0 | ETA: 8.1m
    [1550/8108] 13.6/s | YES: 673 NO: 873 | errors: 0 | ETA: 8.0m
    [1600/8108] 13.7/s | YES: 696 NO: 899 | errors: 0 | ETA: 7.9m
    [1650/8108] 13.8/s | YES: 720 NO: 925 | errors: 0 | ETA: 7.8m
    [1700/8108] 13.8/s | YES: 736 NO: 959 | errors: 0 | ETA: 7.7m
    [1750/8108] 13.8/s | YES: 762 NO: 982 | errors: 0 | ETA: 7.7m
    [1800/8108] 13.8/s | YES: 791 NO: 1003 | errors: 0 | ETA: 7.6m
    [1850/8108] 13.8/s | YES: 826 NO: 1018 | errors: 0 | ETA: 7.5m
    [1900/8108] 13.9/s | YES: 864 NO: 1030 | errors: 0 | ETA: 7.4m
    [1950/8108] 13.8/s | YES: 905 NO: 1039 | errors: 0 | ETA: 7.4m
    [2000/8108] 13.9/s | YES: 947 NO: 1047 | errors: 0 | ETA: 7.3m
    [2050/8108] 14.0/s | YES: 992 NO: 1052 | errors: 0 | ETA: 7.2m
    [2100/8108] 14.0/s | YES: 1029 NO: 1065 | errors: 0 | ETA: 7.1m
    [2150/8108] 14.0/s | YES: 1062 NO: 1082 | errors: 0 | ETA: 7.1m
    [2200/8108] 14.0/s | YES: 1093 NO: 1101 | errors: 0 | ETA: 7.0m
    [2250/8108] 14.0/s | YES: 1125 NO: 1119 | errors: 0 | ETA: 7.0m
    [2300/8108] 14.0/s | YES: 1156 NO: 1138 | errors: 0 | ETA: 6.9m
    [2350/8108] 14.0/s | YES: 1193 NO: 1151 | errors: 0 | ETA: 6.9m
    [2400/8108] 14.0/s | YES: 1229 NO: 1164 | errors: 0 | ETA: 6.8m
    [2450/8108] 14.1/s | YES: 1265 NO: 1178 | errors: 0 | ETA: 6.7m
    [2500/8108] 14.1/s | YES: 1293 NO: 1199 | errors: 0 | ETA: 6.6m
    [2550/8108] 14.1/s | YES: 1313 NO: 1229 | errors: 0 | ETA: 6.6m
    [2600/8108] 14.1/s | YES: 1339 NO: 1253 | errors: 0 | ETA: 6.5m
    [2650/8108] 14.1/s | YES: 1376 NO: 1266 | errors: 0 | ETA: 6.4m
    [2700/8108] 14.1/s | YES: 1419 NO: 1273 | errors: 0 | ETA: 6.4m
    [2750/8108] 14.1/s | YES: 1443 NO: 1299 | errors: 0 | ETA: 6.3m
    [2800/8108] 14.2/s | YES: 1458 NO: 1333 | errors: 0 | ETA: 6.2m
    [2850/8108] 14.1/s | YES: 1473 NO: 1368 | errors: 0 | ETA: 6.2m
    [2900/8108] 14.1/s | YES: 1488 NO: 1403 | errors: 0 | ETA: 6.1m
    [2950/8108] 14.1/s | YES: 1512 NO: 1429 | errors: 0 | ETA: 6.1m
    [3000/8108] 14.2/s | YES: 1535 NO: 1456 | errors: 0 | ETA: 6.0m
    [3050/8108] 14.1/s | YES: 1566 NO: 1475 | errors: 0 | ETA: 6.0m
    [3100/8108] 14.1/s | YES: 1591 NO: 1500 | errors: 0 | ETA: 5.9m
    [3150/8108] 14.1/s | YES: 1609 NO: 1532 | errors: 0 | ETA: 5.9m
    [3200/8108] 14.1/s | YES: 1639 NO: 1551 | errors: 0 | ETA: 5.8m
    [3250/8108] 14.1/s | YES: 1649 NO: 1591 | errors: 0 | ETA: 5.7m
    [3300/8108] 13.2/s | YES: 1657 NO: 1633 | errors: 0 | ETA: 6.1m
    [3350/8108] 12.2/s | YES: 1668 NO: 1672 | errors: 0 | ETA: 6.5m
