Raw input    : C:\Users\hello\AI-Backlash-Social-Media\tiktok\data\raw\tiktok_positive_raw.json
Polarity     : positive
Output CSV   : C:\Users\hello\AI-Backlash-Social-Media\tiktok\data\tiktok_positive_positive_filtered.csv
Progress file: C:\Users\hello\AI-Backlash-Social-Media\tiktok\data\tiktok_positive_positive_filter_progress.json

Loading raw data...
  Raw videos: 7543
  After dedup: 7543 unique videos

=== LLM classification (positive vs not) ===
  Using model: anthropic/claude-sonnet-4
  Keys: 7, workers: 21 (3 per key)
  Videos to classify: 7543
  Progress file: C:\Users\hello\AI-Backlash-Social-Media\tiktok\data\tiktok_positive_positive_filter_progress.json
  Output column: _positive
  Pending: 7543 (skipping 0 already classified)
    [50/7543] 2.9/s | YES: 26 NO: 24 | errors: 0 | ETA: 42.7m
    [100/7543] 4.7/s | YES: 51 NO: 49 | errors: 0 | ETA: 26.2m
    [150/7543] 6.1/s | YES: 76 NO: 72 | errors: 0 | ETA: 20.3m
    [200/7543] 7.0/s | YES: 108 NO: 89 | errors: 0 | ETA: 17.5m
    [250/7543] 7.6/s | YES: 116 NO: 129 | errors: 0 | ETA: 15.9m
    [300/7543] 8.2/s | YES: 117 NO: 175 | errors: 0 | ETA: 14.7m
    [350/7543] 8.7/s | YES: 127 NO: 215 | errors: 0 | ETA: 13.8m
    [400/7543] 9.1/s | YES: 166 NO: 226 | errors: 0 | ETA: 13.0m
    [450/7543] 9.4/s | YES: 208 NO: 234 | errors: 0 | ETA: 12.6m
    [500/7543] 9.7/s | YES: 240 NO: 251 | errors: 0 | ETA: 12.1m
    [550/7543] 9.9/s | YES: 248 NO: 293 | errors: 0 | ETA: 11.7m
    [600/7543] 10.2/s | YES: 258 NO: 333 | errors: 0 | ETA: 11.4m
    [650/7543] 10.3/s | YES: 283 NO: 355 | errors: 0 | ETA: 11.1m
    [700/7543] 10.5/s | YES: 315 NO: 373 | errors: 0 | ETA: 10.9m
    [750/7543] 10.6/s | YES: 348 NO: 390 | errors: 0 | ETA: 10.7m
    [800/7543] 10.6/s | YES: 380 NO: 408 | errors: 0 | ETA: 10.6m
    [850/7543] 10.7/s | YES: 425 NO: 413 | errors: 0 | ETA: 10.4m
    [900/7543] 10.9/s | YES: 466 NO: 422 | errors: 0 | ETA: 10.2m
    [950/7543] 11.0/s | YES: 510 NO: 428 | errors: 0 | ETA: 10.0m
    [1000/7543] 11.0/s | YES: 535 NO: 453 | errors: 0 | ETA: 9.9m
    [1050/7543] 11.1/s | YES: 558 NO: 480 | errors: 0 | ETA: 9.7m
    [1100/7543] 11.2/s | YES: 594 NO: 492 | errors: 0 | ETA: 9.6m
    [1150/7543] 11.2/s | YES: 634 NO: 502 | errors: 0 | ETA: 9.5m
    [1200/7543] 11.2/s | YES: 676 NO: 510 | errors: 0 | ETA: 9.5m
    [1250/7543] 11.1/s | YES: 719 NO: 517 | errors: 0 | ETA: 9.4m
    [1300/7543] 11.2/s | YES: 752 NO: 534 | errors: 0 | ETA: 9.3m
    [1350/7543] 11.2/s | YES: 792 NO: 543 | errors: 0 | ETA: 9.2m
    [1400/7543] 11.2/s | YES: 833 NO: 552 | errors: 0 | ETA: 9.1m
    [1450/7543] 11.2/s | YES: 871 NO: 564 | errors: 0 | ETA: 9.1m
    [1500/7543] 11.2/s | YES: 912 NO: 573 | errors: 0 | ETA: 9.0m
    [1550/7543] 11.1/s | YES: 955 NO: 580 | errors: 0 | ETA: 9.0m
    [1600/7543] 11.1/s | YES: 998 NO: 586 | errors: 0 | ETA: 8.9m
    [1650/7543] 11.1/s | YES: 1040 NO: 592 | errors: 0 | ETA: 8.9m
    [1700/7543] 11.1/s | YES: 1082 NO: 600 | errors: 0 | ETA: 8.8m
    [1750/7543] 11.1/s | YES: 1121 NO: 611 | errors: 0 | ETA: 8.7m
    [1800/7543] 11.1/s | YES: 1161 NO: 620 | errors: 0 | ETA: 8.6m
    [1850/7543] 11.0/s | YES: 1198 NO: 633 | errors: 0 | ETA: 8.6m
    [1900/7543] 10.9/s | YES: 1229 NO: 650 | errors: 0 | ETA: 8.7m
    [1950/7543] 10.8/s | YES: 1253 NO: 674 | errors: 0 | ETA: 8.6m
    [2000/7543] 10.8/s | YES: 1281 NO: 696 | errors: 0 | ETA: 8.5m
    [2050/7543] 10.8/s | YES: 1318 NO: 709 | errors: 0 | ETA: 8.5m
    [2100/7543] 10.7/s | YES: 1357 NO: 720 | errors: 0 | ETA: 8.5m
    [2150/7543] 10.5/s | YES: 1390 NO: 737 | errors: 0 | ETA: 8.5m
    [2200/7543] 10.4/s | YES: 1431 NO: 745 | errors: 0 | ETA: 8.5m
    [2250/7543] 10.3/s | YES: 1473 NO: 753 | errors: 0 | ETA: 8.5m
    [2300/7543] 10.2/s | YES: 1513 NO: 762 | errors: 0 | ETA: 8.6m
    [2350/7543] 10.1/s | YES: 1545 NO: 780 | errors: 0 | ETA: 8.6m
    [2400/7543] 10.0/s | YES: 1581 NO: 792 | errors: 0 | ETA: 8.6m
    [2450/7543] 9.9/s | YES: 1614 NO: 809 | errors: 0 | ETA: 8.6m
    [2500/7543] 9.8/s | YES: 1649 NO: 823 | errors: 0 | ETA: 8.5m
    [2550/7543] 9.8/s | YES: 1687 NO: 834 | errors: 0 | ETA: 8.5m
    [2600/7543] 9.7/s | YES: 1729 NO: 842 | errors: 0 | ETA: 8.5m
    [2650/7543] 9.5/s | YES: 1774 NO: 847 | errors: 0 | ETA: 8.6m
    [2700/7543] 9.3/s | YES: 1817 NO: 854 | errors: 0 | ETA: 8.6m
    [2750/7543] 9.2/s | YES: 1852 NO: 869 | errors: 0 | ETA: 8.7m
    [2800/7543] 8.8/s | YES: 1885 NO: 885 | errors: 0 | ETA: 9.0m
    [2850/7543] 8.4/s | YES: 1922 NO: 898 | errors: 0 | ETA: 9.3m
    [2900/7543] 7.7/s | YES: 1946 NO: 924 | errors: 0 | ETA: 10.1m
    [2950/7543] 7.0/s | YES: 1985 NO: 935 | errors: 0 | ETA: 10.9m
    [3000/7543] 6.7/s | YES: 2034 NO: 936 | errors: 0 | ETA: 11.3m
    [3050/7543] 6.2/s | YES: 2078 NO: 942 | errors: 0 | ETA: 12.0m
