Raw input    : C:\Users\hello\AI-Backlash-Social-Media\youtube\data\raw\youtube_positive_raw.json
Polarity     : positive
Output CSV   : C:\Users\hello\AI-Backlash-Social-Media\youtube\data\youtube_positive_positive_filtered.csv
Progress file: C:\Users\hello\AI-Backlash-Social-Media\youtube\data\youtube_positive_positive_filter_progress.json

Loading raw data...
  Raw videos: 20438
  After dedup: 20438 unique videos

=== LLM classification (positive vs not) ===
  Using model: anthropic/claude-sonnet-4
  Keys: 7, workers: 21 (3 per key)
  Videos to classify: 20438
  Progress file: C:\Users\hello\AI-Backlash-Social-Media\youtube\data\youtube_positive_positive_filter_progress.json
  Output column: _positive
  Pending: 20438 (skipping 0 already classified)
    [50/20438] 3.2/s | YES: 38 NO: 12 | errors: 0 | ETA: 106.1m
    [100/20438] 3.6/s | YES: 74 NO: 26 | errors: 0 | ETA: 95.2m
    [150/20438] 3.3/s | YES: 111 NO: 39 | errors: 0 | ETA: 102.2m
    [200/20438] 3.1/s | YES: 151 NO: 49 | errors: 0 | ETA: 109.8m
    [250/20438] 2.5/s | YES: 188 NO: 62 | errors: 0 | ETA: 132.9m
    [300/20438] 2.3/s | YES: 226 NO: 74 | errors: 0 | ETA: 147.3m
    [350/20438] 2.1/s | YES: 259 NO: 91 | errors: 0 | ETA: 162.7m
    [400/20438] 2.0/s | YES: 291 NO: 109 | errors: 0 | ETA: 170.9m
    [450/20438] 2.0/s | YES: 318 NO: 132 | errors: 0 | ETA: 166.9m
    [500/20438] 2.0/s | YES: 347 NO: 153 | errors: 0 | ETA: 165.7m
    [550/20438] 2.1/s | YES: 383 NO: 167 | errors: 0 | ETA: 159.2m
    [600/20438] 2.2/s | YES: 424 NO: 176 | errors: 0 | ETA: 151.3m
    [650/20438] 2.3/s | YES: 464 NO: 186 | errors: 0 | ETA: 144.1m
    [700/20438] 2.4/s | YES: 474 NO: 226 | errors: 0 | ETA: 137.4m
    [750/20438] 2.5/s | YES: 487 NO: 263 | errors: 0 | ETA: 130.9m
    [800/20438] 2.6/s | YES: 498 NO: 302 | errors: 0 | ETA: 125.6m
    [850/20438] 2.7/s | YES: 501 NO: 349 | errors: 0 | ETA: 120.9m
    [900/20438] 2.8/s | YES: 508 NO: 392 | errors: 0 | ETA: 117.0m
    [950/20438] 2.9/s | YES: 519 NO: 431 | errors: 0 | ETA: 113.2m
    [1000/20438] 3.0/s | YES: 523 NO: 477 | errors: 0 | ETA: 109.1m
    [1050/20438] 3.1/s | YES: 532 NO: 518 | errors: 0 | ETA: 105.0m
    [1100/20438] 3.1/s | YES: 552 NO: 548 | errors: 0 | ETA: 102.8m
    [1150/20438] 3.2/s | YES: 568 NO: 582 | errors: 0 | ETA: 99.7m
    [1200/20438] 3.3/s | YES: 592 NO: 608 | errors: 0 | ETA: 96.8m
    [1250/20438] 3.4/s | YES: 610 NO: 640 | errors: 0 | ETA: 93.8m
    [1300/20438] 3.5/s | YES: 618 NO: 682 | errors: 0 | ETA: 91.2m
    [1350/20438] 3.6/s | YES: 638 NO: 712 | errors: 0 | ETA: 88.5m
    [1400/20438] 3.7/s | YES: 677 NO: 723 | errors: 0 | ETA: 86.4m
    [1450/20438] 3.8/s | YES: 716 NO: 734 | errors: 0 | ETA: 84.0m
    [1500/20438] 3.9/s | YES: 756 NO: 744 | errors: 0 | ETA: 81.8m
    [1550/20438] 3.9/s | YES: 803 NO: 747 | errors: 0 | ETA: 79.8m
    [1600/20438] 4.0/s | YES: 850 NO: 750 | errors: 0 | ETA: 77.9m
    [1650/20438] 4.1/s | YES: 898 NO: 752 | errors: 0 | ETA: 76.0m
    [1700/20438] 4.2/s | YES: 941 NO: 759 | errors: 0 | ETA: 74.2m
    [1750/20438] 4.3/s | YES: 980 NO: 770 | errors: 0 | ETA: 72.6m
    [1800/20438] 4.4/s | YES: 1010 NO: 790 | errors: 0 | ETA: 71.0m
    [1850/20438] 4.5/s | YES: 1043 NO: 807 | errors: 0 | ETA: 69.5m
    [1900/20438] 4.5/s | YES: 1073 NO: 827 | errors: 0 | ETA: 68.0m
    [1950/20438] 4.6/s | YES: 1099 NO: 851 | errors: 0 | ETA: 66.7m
    [2000/20438] 4.7/s | YES: 1130 NO: 870 | errors: 0 | ETA: 65.5m
    [2050/20438] 4.8/s | YES: 1161 NO: 889 | errors: 0 | ETA: 64.3m
    [2100/20438] 4.8/s | YES: 1194 NO: 906 | errors: 0 | ETA: 63.1m
    [2150/20438] 4.9/s | YES: 1231 NO: 919 | errors: 0 | ETA: 61.9m
    [2200/20438] 5.0/s | YES: 1269 NO: 931 | errors: 0 | ETA: 60.8m
