Loading raw data...
  Raw videos: 23865
  After dedup: 23865 unique videos

=== LLM classification (backlash vs neutral) ===
  Using model: anthropic/claude-sonnet-4
  Keys: 7, workers: 21 (3 per key)
  Videos to classify: 23865
  Pending: 23865 (skipping 0 already classified)
    [50/23865] 7.3/s | YES: 48 NO: 2 | errors: 0 | ETA: 54.1m
    [100/23865] 10.0/s | YES: 95 NO: 5 | errors: 0 | ETA: 39.6m
    [150/23865] 11.3/s | YES: 140 NO: 10 | errors: 0 | ETA: 35.0m
    [200/23865] 11.8/s | YES: 183 NO: 17 | errors: 0 | ETA: 33.5m
    [250/23865] 12.0/s | YES: 229 NO: 21 | errors: 0 | ETA: 32.8m
    [300/23865] 12.4/s | YES: 277 NO: 23 | errors: 0 | ETA: 31.6m
    [350/23865] 13.0/s | YES: 324 NO: 26 | errors: 0 | ETA: 30.1m
    [400/23865] 13.3/s | YES: 369 NO: 31 | errors: 0 | ETA: 29.4m
    [450/23865] 13.4/s | YES: 418 NO: 32 | errors: 0 | ETA: 29.0m
    [500/23865] 13.6/s | YES: 458 NO: 42 | errors: 0 | ETA: 28.6m
    [550/23865] 13.7/s | YES: 503 NO: 47 | errors: 0 | ETA: 28.4m
    [600/23865] 14.0/s | YES: 545 NO: 55 | errors: 0 | ETA: 27.8m
    [650/23865] 14.0/s | YES: 589 NO: 61 | errors: 0 | ETA: 27.6m
    [700/23865] 14.1/s | YES: 627 NO: 73 | errors: 0 | ETA: 27.5m
    [750/23865] 14.1/s | YES: 666 NO: 84 | errors: 0 | ETA: 27.3m
    [800/23865] 14.2/s | YES: 706 NO: 94 | errors: 0 | ETA: 27.1m
    [850/23865] 14.2/s | YES: 753 NO: 97 | errors: 0 | ETA: 26.9m
    [900/23865] 14.4/s | YES: 794 NO: 106 | errors: 0 | ETA: 26.7m
    [950/23865] 14.3/s | YES: 839 NO: 111 | errors: 0 | ETA: 26.8m
    [1000/23865] 14.2/s | YES: 881 NO: 119 | errors: 0 | ETA: 26.8m
    [1050/23865] 14.2/s | YES: 929 NO: 121 | errors: 0 | ETA: 26.8m
    [1100/23865] 14.2/s | YES: 975 NO: 125 | errors: 0 | ETA: 26.8m
    [1150/23865] 14.1/s | YES: 1022 NO: 128 | errors: 0 | ETA: 26.8m
    [1200/23865] 14.2/s | YES: 1069 NO: 131 | errors: 0 | ETA: 26.6m
    [1250/23865] 14.1/s | YES: 1117 NO: 133 | errors: 0 | ETA: 26.7m
    [1300/23865] 14.0/s | YES: 1165 NO: 135 | errors: 0 | ETA: 26.8m
    [1350/23865] 14.0/s | YES: 1213 NO: 137 | errors: 0 | ETA: 26.8m
    [1400/23865] 14.0/s | YES: 1258 NO: 142 | errors: 0 | ETA: 26.7m
    [1450/23865] 14.1/s | YES: 1275 NO: 175 | errors: 0 | ETA: 26.6m
    [1500/23865] 14.1/s | YES: 1288 NO: 212 | errors: 0 | ETA: 26.5m
    [1550/23865] 14.0/s | YES: 1297 NO: 253 | errors: 0 | ETA: 26.5m
    [1600/23865] 14.1/s | YES: 1302 NO: 298 | errors: 0 | ETA: 26.4m
    [1650/23865] 14.1/s | YES: 1312 NO: 338 | errors: 0 | ETA: 26.3m
    [1700/23865] 14.1/s | YES: 1327 NO: 373 | errors: 0 | ETA: 26.3m
    [1750/23865] 14.1/s | YES: 1350 NO: 400 | errors: 0 | ETA: 26.1m
    [1800/23865] 14.1/s | YES: 1388 NO: 412 | errors: 0 | ETA: 26.1m
    [1850/23865] 14.1/s | YES: 1432 NO: 418 | errors: 0 | ETA: 26.0m
    [1900/23865] 14.1/s | YES: 1471 NO: 429 | errors: 0 | ETA: 25.9m
