video_id,theme,subtopic,confidence
h5wtr1hUTHo,jobs,all_jobs_panic,high
-jth7qqm96s,jobs,layoffs_news,high
qNeuboilMn0,jobs,layoffs_news,high
OiCKaqNmDeE,jobs,personal_loss,high
aOsiKhE_uSY,jobs,all_jobs_panic,high
QUJX7C7WNh4,jobs,service_blue_collar,high
sH7sI5EniT8,jobs,layoffs_news,high
diVyhpt86gs,jobs,all_jobs_panic,high
WSSnHfHUhXA,jobs,all_jobs_panic,high
tGEh0lATdgM,jobs,layoffs_news,high
9IEXZ3k0PXw,jobs,layoffs_news,high
YxIwLomDNOQ,jobs,layoffs_news,high
_w-auY5lb3A,jobs,all_jobs_panic,high
xytAwifxZSc,jobs,layoffs_news,high
81Ucz6OaHfA,jobs,layoffs_news,high
6QI4ylISdEI,jobs,other,medium
XKzbNC7FkoI,jobs,all_jobs_panic,high
WO6xQGxIVZQ,jobs,all_jobs_panic,high
2s1pw5V9XU4,jobs,all_jobs_panic,high
k8jDJV-N__8,jobs,layoffs_news,high
VcCP76FAYMo,jobs,all_jobs_panic,high
blIwPuLSUas,jobs,all_jobs_panic,high
3FzQVGQY3WU,jobs,layoffs_news,high
QqWdz3nAzRk,jobs,layoffs_news,high
9K2pedZy5z0,jobs,service_blue_collar,high
yeubZ5lM-sQ,jobs,all_jobs_panic,high
35CDCU5chKE,jobs,service_blue_collar,high
7c1xhcV9QqU,jobs,all_jobs_panic,high
BdUug1fZuUw,jobs,layoffs_news,high
EZQEcPcJ24I,jobs,all_jobs_panic,high
OFmxKgaLN80,jobs,white_collar_tech,high
zju51INmW7U,jobs,all_jobs_panic,high
nz24mOsSzeA,jobs,white_collar_tech,high
UgMSDlTafiI,jobs,all_jobs_panic,high
tTFnp0rbDt0,jobs,service_blue_collar,high
zp9GTOVAyoI,jobs,all_jobs_panic,high
KeAXxQ9221s,jobs,white_collar_tech,high
dig46bo3nL0,jobs,white_collar_tech,high
g27TDGpZmbI,jobs,all_jobs_panic,high
8Zai9G0cO3Q,jobs,layoffs_news,high
ZqHEQJLNt3s,jobs,all_jobs_panic,high
fLBMUWfu1TM,jobs,all_jobs_panic,medium
dthbi4lzO58,jobs,all_jobs_panic,high
UUOfCcEIp3M,jobs,all_jobs_panic,high
qLOCwqn0XjU,jobs,white_collar_tech,high
8xOSFyD4ACA,jobs,layoffs_news,high
HHkMqWOKW9w,jobs,personal_loss,high
-NZ5g5cvkuE,jobs,all_jobs_panic,high
nH0YRWD3tM0,education,other,high
LGTZAR1Sh2E,jobs,layoffs_news,medium
VehffsgFFPM,jobs,all_jobs_panic,high
mGqfdB2xXqc,jobs,layoffs_news,high
iwBIGLqliMM,jobs,all_jobs_panic,high
