video_id,theme,subtopic,confidence
5_RYBwBXL7Q,career_productivity,tool_roundup,high
0KKYavUwbIA,career_productivity,tool_roundup,low
QWkpmc50W-o,creative_tool,design_build,medium
dj-FF_1TAJo,career_productivity,vibe_coding,medium
yUciJFrrj7E,creative_tool,music_suno,high
7ms1lf9a898,career_productivity,other,medium
UacpRTJxdQ0,career_productivity,agent_automation,medium
pEKScR0exQQ,career_productivity,agent_automation,medium
3aAcb68u8JE,career_productivity,income_side_hustle,high
nIYQghPpgaI,career_productivity,chatgpt_workflow,medium
Knx1lE5MU2g,creative_tool,image_art,high
w76dpVY5EvM,education_learning,other,low
sGeaIG9OI7I,career_productivity,agent_automation,medium
FZnacbxZyg0,career_productivity,tool_roundup,high
FLyB1URczno,career_productivity,tool_roundup,high
yjXn3FhYuKw,career_productivity,tool_roundup,medium
flgnPAHcnnE,career_productivity,income_side_hustle,medium
KRAEpXHnT8I,career_productivity,other,high
hIXil5TEEOc,career_productivity,agent_automation,high
nDnmniqgN60,creative_tool,pro_ai_identity,medium
qUutkWwyLiA,career_productivity,tool_roundup,medium
FJmYa8ocLmk,career_productivity,vibe_coding,medium
wafvHVNjNEQ,education_learning,skill_learning,high
oMHGzAW7DrY,career_productivity,tool_roundup,low
xRyiN8nTQKU,general_hype,love_ai,low
twKnlRkbdbs,career_productivity,other,high
hHLLv_hv7Lk,creative_tool,other,high
hSapZAIPBbI,career_productivity,agent_automation,medium
jSrk-TUTHhA,career_productivity,agent_automation,medium
z9LURkSE484,career_productivity,tool_roundup,low
wePsqoZ_JEo,general_hype,love_ai,medium
GKRqADonzoA,education_learning,other,high
HC2Ho2PWds0,career_productivity,chatgpt_workflow,high
iKQ371ggIDs,career_productivity,other,low
1vF4dJ1MdC8,creative_tool,other,high
a6sjG8mUgcM,education_learning,concept_explainer,high
rWUVLLLXHHU,career_productivity,tool_roundup,medium
klHluuc9eGo,education_learning,study_aid,high
LDE5fbeZLxM,career_productivity,tool_roundup,medium
u22-XoQvI4I,creative_tool,image_art,high
zvCUQzQmpEg,career_productivity,agent_automation,high
U5ytm5tWlYk,career_productivity,chatgpt_workflow,high
sBYcrbz98DQ,education_learning,study_aid,low
lZgPWQxbhlw,creative_tool,pro_ai_identity,medium
vwPvigQScA8,creative_tool,video_gen,high
KbhDyxlb_v8,career_productivity,tool_roundup,low
6xEJ9u5miRE,career_productivity,vibe_coding,medium
TIckDoEyvkU,career_productivity,agent_automation,medium
MCXlo2bVITQ,career_productivity,chatgpt_workflow,medium
5mB0LHWy-TY,career_productivity,other,low
U7OLyH0TMlE,career_productivity,agent_automation,medium
Ly3ax_6hphY,general_hype,love_ai,low
JngPpuSmd2Q,career_productivity,vibe_coding,medium
_C5W9xXSsUk,career_productivity,other,high
bzf-eAo6FLk,career_productivity,tool_roundup,medium
T-PYA8r32u0,synthetic_media_play,animation,medium
Ju5VGlJVgrY,career_productivity,agent_automation,medium
HwWUJrExCHQ,general_hype,love_ai,low
9RVqnmFmMsY,career_productivity,other,high
0kCXgmVpOuk,general_hype,love_ai,low
-yDor6Oc_nQ,career_productivity,income_side_hustle,medium
7boklawLDK4,career_productivity,agent_automation,medium
cRQnKfkPFzY,career_productivity,tool_roundup,medium
ciN5v0-QCs4,career_productivity,other,high
ToyN7BlCpf4,creative_tool,other,high
AqufcfcaO8k,career_productivity,job_landed,low
M81vtOCQJjI,career_productivity,other,high
eOIHO9Xgofs,career_productivity,agent_automation,high
o7C63SMSMac,career_productivity,other,high
5reCyLR5neU,career_productivity,vibe_coding,high
DC42LxR9SZw,breakthrough_science,medical_health,high
PBe5UzLhwzs,creative_tool,music_suno,high
GeoGKyUhcBI,breakthrough_science,other,high
yqxXJaiIKCM,career_productivity,chatgpt_workflow,medium
sqog1SkHBRI,creative_tool,design_build,high
XUQmLkqP5m4,career_productivity,chatgpt_workflow,high
gAzjISeGO-g,career_productivity,vibe_coding,high
eFUL_uM6Kpk,career_productivity,agent_automation,medium
ETID3XjmdQo,career_productivity,job_landed,medium
hneFnA0feJw,general_hype,love_ai,low
OJ3ejZTKdXA,career_productivity,chatgpt_workflow,medium
s8bGcHWP4_Y,creative_tool,pro_ai_identity,high
vw2TBUra-mM,creative_tool,design_build,high
idC3gpFvpCo,creative_tool,video_gen,high
NzKwfHDa7to,education_learning,skill_learning,high
XcdkkWK5MpA,career_productivity,tool_roundup,medium
j3D1IOpqGwk,career_productivity,vibe_coding,medium
PSWUr5E_OKY,career_productivity,chatgpt_workflow,medium
ROmtgqTefAw,career_productivity,tool_roundup,high
nr9cWyLId1M,career_productivity,job_landed,low
JRxsQZOYlB8,creative_tool,video_gen,high
3QavdMbfZTM,career_productivity,tool_roundup,low
IWdvG9Up8Mc,career_productivity,income_side_hustle,high
kdgKpblVtsc,creative_tool,video_gen,high
QaFEzzQNVNs,creative_tool,video_gen,high
drfHeaPhXvc,career_productivity,job_landed,medium
CwzWaIE11Mw,creative_tool,design_build,medium
64qXq8AG_9M,career_productivity,chatgpt_workflow,medium
iU_USCOCWKQ,creative_tool,image_art,high
wCEDvNgYJuA,education_learning,skill_learning,high
npJB3PKiKQ4,career_productivity,chatgpt_workflow,medium
oOCN30ulVyo,career_productivity,vibe_coding,high
reUZRyXxUs4,career_productivity,agent_automation,medium
YSHSHJKNi_U,career_productivity,income_side_hustle,medium
_lChLN570VI,career_productivity,vibe_coding,high
mF0qvg4Yqf0,career_productivity,chatgpt_workflow,high
P7vhAF9Dr4o,education_learning,study_aid,high
u7R6cZjuzHk,career_productivity,tool_roundup,high
uXpa89qFj0c,career_productivity,tool_roundup,medium
KcbXKUR7-a0,career_productivity,tool_roundup,medium
7fsb6ZESyzE,career_productivity,tool_roundup,medium
KIsuIj-Ll3k,career_productivity,agent_automation,high
OHODMrUZlpo,career_productivity,tool_roundup,high
